SM-ranki Sprintit 2024;SPRINTTI;05.05.2024;3;true
Sija;Nimi;Lisenssi;Seura;Kilp 1;Pist 1;Kilp 2;Pist 2;Kilp 3;Pist 3;Kilp 4;Pist 4;Kilp 5;Pist 5;Pisteet
1;Mäki-Hokkonen Anni;112918;EsSu;0;69.53;26534;64.66;;;;;;;80.00
2;Lehtonen Venla;91966;MSParma;26526;65.01;26527;62.86;0;62.50;;;;;78.81
3;Lehtinen Martta;102802;AngA;26534;67.05;26527;61.32;0;59.53;;;;;77.78
4;Nurmela Helmiina;110972;LS-37;26526;69.76;26527;66.82;0;51.11;;;;;77.70
5;Rantanen Annika;105817;Koovee;26526;66.55;0;62.41;26575;56.83;;;;;76.91
6;Naskali Johanna;95662;KyRa;0;62.56;26526;61.18;26534;56.42;;;;;74.57
7;Mennala Venla;107905;HlS;26823;62.87;26563;60.98;0;55.27;;;;;74.15
8;Malinen Fanni;91874;Navi;26520;59.45;0;57.94;26527;55.86;;;;;71.72
9;Lintunen Venla;99793;RaKaS;0;60.05;26526;56.93;26527;55.33;;;;;71.33
10;Lukkari Matilda;96649;SKUusi;26526;58.83;0;56.95;26527;53.53;;;;;70.09
11;Liukkonen Veera;108821;AnttU;26521;57.18;26520;56.33;26526;55.52;;;;;69.97
12;Taini Elli;91834;JRV;0;64.48;26575;52.77;;;;;;;69.89
13;Rajala Maija;109097;RaJu;26527;65.10;26588;52.98;0;49.81;;;;;69.49
14;Mariani Sandra;106410;Koovee;0;56.68;26563;55.95;26823;55.15;;;;;69.46
15;Emaldynova Alisa;94713;AngA;0;62.94;26823;57.47;26563;47.15;;;;;69.37
16;Tuomaala Ella;105957;RaJu;0;63.62;26527;53.99;26588;49.27;;;;;69.08
17;Kankaanpää Martta;102170;EsSu;26534;58.36;0;57.53;;;;;;;69.07
18;Koski Hanni;92032;Koovee;26575;59.72;0;55.72;;;;;;;68.81
19;Kankainen Essi;90784;EsSu;26527;61.98;0;52.30;26526;51.71;;;;;68.71
20;Kaiponen Ella-Sofia;116344;ORa;0;58.10;26520;53.92;26521;52.16;;;;;67.95
21;Vallittu Tuuli;101794;KangSK;0;56.55;26526;56.22;26527;51.21;;;;;67.88
22;Luhtasaari Nea;105677;RaJu;0;58.15;26526;54.83;26527;49.67;;;;;67.33
23;Lehtinen Miina;102801;AngA;26527;60.32;0;47.94;;;;;;;64.53
24;Davidsson Linnéa;108525;TP;0;59.70;26823;49.39;26563;45.24;;;;;63.88
25;Kriktilä Pihla;90572;VeVe;26521;55.16;0;50.39;26823;47.73;;;;;63.46
26;Vepsäläinen Liina;102589;HS;26534;53.13;26823;50.36;0;49.09;;;;;63.16
27;Gaasenbeek Annlinn;96284;LS-37;26526;59.74;26527;48.12;0;43.38;;;;;62.60
28;Kuokka Katri;111679;IisVi;0;52.99;26527;50.12;;;;;;;61.46
29;Elovaara Emma;99503;AngA;26563;54.25;26823;52.60;26767;41.52;;;;;61.41
30;Peltonen Riikka;104511;JRV;0;54.90;26575;46.25;;;;;;;60.29
31;Kovanen Saara;99568;S-JKL;0;54.90;26360;46.83;26361;42.75;;;;;59.81
32;Lehtonen Lilja;103236;SKUusi;0;53.73;26361;45.29;26360;44.89;;;;;59.57
33;Biskop Patricia;100014;LapVi;0;48.91;26588;44.91;;;;;;;55.92
34;Frondelius Elli;118717;RaKaS;26521;46.21;0;44.55;26520;42.04;;;;;54.98
35;Mbembela Kia;35908;TP;0;44.62;26534;44.15;26526;43.60;;;;;54.79
36;Lohtander Eerika;95453;MSParma;0;54.14;26767;34.68;;;;;;;52.94
37;Loukkalahti Aino;103905;RR;0;46.77;26563;41.04;26526;39.80;;;;;52.83
38;Markkanen Iita;108172;SKUusi;26526;47.59;26527;41.33;26361;37.36;;;;;52.28
39;Suokko Matilda;98946;LapVi;0;45.33;26588;41.16;;;;;;;51.56
40;Viippola Sofia;105529;HS;26526;40.59;0;39.55;26823;38.83;;;;;49.25
41;Kenttä Lumi;12325;OK77;26534;42.67;;;;;;;;;48.76
42;Auvinen Senja;111012;AnttU;26527;38.95;0;38.84;26526;37.98;;;;;47.92
43;Jokinen Sivi;107823;HU-46;0;41.27;26563;35.13;26823;34.53;;;;;45.91
44;Hahl Annika;106401;JRV;0;37.83;26575;37.06;;;;;;;44.64
45;Vainikka Sara;99638;Navi;26521;37.34;26520;35.83;;;;;;;43.61
46;Lautamo Hilla;39152;VaaSu;26588;33.05;0;31.27;;;;;;;38.34
