SM-ranki Sprintit 2024;SPRINTTI;05.05.2024;3;true
Sija;Nimi;Lisenssi;Seura;Kilp 1;Pist 1;Kilp 2;Pist 2;Kilp 3;Pist 3;Kilp 4;Pist 4;Kilp 5;Pist 5;Pisteet
1;Heinonen Eero;26233;MSParma;26526;92.90;26527;90.19;26767;89.48;;;;;100.00
2;Sevelius Emil;13470;OK77;26526;90.25;26527;89.74;0;84.39;;;;;96.99
3;Sankelo Sampo;98915;LapVi;26527;89.74;26526;89.58;26588;84.74;;;;;96.87
4;Kaario Otto;17439;HS;26526;88.49;0;88.05;26527;86.33;;;;;96.43
5;Ruohola Akseli;27510;MSParma;26527;91.81;0;86.75;26526;82.52;;;;;95.77
6;Peltola Samuli;91212;JRV;26527;88.40;26767;86.24;26526;85.11;;;;;95.29
7;Ylikylä Petja;28088;AngA;26527;89.07;26767;84.87;0;83.27;;;;;94.36
8;Donner Jonny;22355;OK77;26526;87.09;26527;85.06;0;82.17;;;;;93.30
9;Heikkilä Niklas;29773;KS;26526;86.46;26527;82.00;26520;77.92;;;;;90.39
10;Parjanne Antti;12562;Lynx;26526;83.21;26534;81.66;26527;79.85;;;;;89.78
11;Kinnunen Valtteri;12924;LS-37;26527;84.43;26526;81.93;26534;78.04;;;;;89.67
12;Similä Severi;96189;TP;26526;85.84;26527;82.60;0;75.43;;;;;89.47
13;Pasanen Ville;102916;KR;26527;87.52;;;;;;;;;88.62
14;Penttinen Topi;25952;MSParma;26767;83.79;0;81.96;;;;;;;87.56
15;Palmen Alvar;11733;EsSu;0;85.10;26527;79.35;;;;;;;86.87
16;Patana Mikko;19569;RaJu;0;80.31;26527;79.85;26526;76.55;;;;;86.84
17;Rautio Daniel;38453;EsSu;26526;83.71;26527;79.05;0;73.41;;;;;86.64
18;Mäkinen Tuukka;28937;MSParma;26526;79.66;0;79.58;26527;76.65;;;;;86.54
19;Sopo Aleksi;11382;Navi;26527;85.69;26526;78.13;0;72.02;;;;;86.52
20;Koivumäki Olli;29317;LapVi;26767;80.96;26534;79.06;0;73.27;;;;;85.58
21;Turkki Eero;12799;HS;26527;80.25;26526;76.55;0;74.67;;;;;84.92
22;Vanhanen Konsta;12092;IkNV;26527;81.12;26526;75.54;0;72.84;;;;;84.20
23;Suutari Matti;11546;VeVe;26702;82.89;;;;;;;;;83.93
24;Mäkelä Tuomo;17281;AngA;26767;79.57;0;78.79;;;;;;;83.66
25;Kuningas Janne;19859;LappRi;26823;76.70;26563;75.95;0;74.74;;;;;83.42
25;Suna Jussi;17919;TuMe;26702;79.73;0;78.19;;;;;;;83.42
27;Ahoniemi Santeri;94829;HS;26527;82.91;26526;76.55;0;66.98;;;;;83.07
28;Tikhonov Gleb;98717;TuMe;26526;81.93;0;73.51;26527;70.67;;;;;82.95
29;Viitasaari Toni-Antti;9371;LapVi;26534;80.09;0;76.88;;;;;;;82.92
30;Koivisto Antton;96035;S-JKL;26526;80.31;0;76.42;26527;68.37;;;;;82.58
31;Portin Fredric;23047;Brahe;26702;86.02;0;68.76;26562;68.75;;;;;82.00
32;Ankelo Jussi;94666;MSParma;26702;81.02;0;73.70;;;;;;;81.74
33;Heikkilä Ollipekka;24307;HS;26526;77.30;26527;76.02;0;68.49;;;;;81.38
34;Nikkinen Hannes;90749;HiKi;26767;78.45;26563;72.32;26823;70.50;;;;;81.18
35;Stenbacka Wilhelm;112090;OK77;26361;76.11;26563;73.37;0;70.90;;;;;80.85
36;Rannila Oskari;92057;LapVi;26588;74.62;26534;72.86;0;72.66;;;;;80.76
37;Töyrylä Rasmus;99828;KyS;26823;77.81;26563;76.94;0;64.48;;;;;80.43
38;Ala-Äijälä Janne;18616;RaLu;0;78.24;26702;71.43;26534;69.51;;;;;80.41
39;Solonen Joni;9281;LS-37;26526;77.30;26521;71.54;26527;70.06;;;;;80.31
40;Haugskott Anders;122796;EsSu;26526;77.84;26527;74.16;;;;;;;80.30
41;Rantala Valtteri;11758;LS-37;26360;73.36;26361;72.61;0;72.15;;;;;80.02
42;Liukkonen Oskari;3403;HiKi;26823;73.15;26563;72.32;26360;71.90;;;;;79.75
43;Hirvikallio Aatu;29989;KS;26527;75.48;26526;73.52;0;68.33;;;;;79.73
44;Hjulgren Markus;23857;EsAk;26527;73.47;0;71.98;26526;70.72;;;;;79.31
45;Syrjäläinen Topi;22134;HS;0;84.35;26702;65.64;;;;;;;79.24
46;Suominen Miika;10383;HS;26526;77.30;26527;72.21;;;;;;;78.98
47;Linnainmaa Lauri;899;HiKi;26527;77.76;;;;;;;;;78.74
48;Jansson Emil;92643;Brahe;26588;77.77;0;70.55;;;;;;;78.35
49;Rantala Petteri;25298;KoS;26526;73.87;26527;71.55;0;65.76;;;;;77.48
50;Korhonen Eetu;24998;KS;26526;75.10;26527;72.48;0;63.13;;;;;77.31
51;Levälehto Riku;110437;TuMe;26767;75.77;26702;72.22;0;62.36;;;;;77.17
52;Laine Ville;106586;NaTe;26534;71.78;26526;70.05;26360;67.70;;;;;76.87
53;Mbembela Karim;35624;HS;0;73.05;26526;69.50;26527;66.37;;;;;76.65
54;Seppänen Jukka-Pekka;697;HiKi;26702;74.35;26534;71.06;0;63.32;;;;;76.58
55;Lapila Eero;26502;MSParma;26702;75.44;;;;;;;;;76.38
56;Mattila Tuomas;35442;VeVe;26534;71.06;26527;68.92;26526;68.05;;;;;76.31
57;Iivari Antti;35183;RaJu;0;77.44;26588;66.77;;;;;;;76.19
58;Seppänen Kari-Pekka;12355;EsSu;0;70.40;26702;69.38;26767;67.79;;;;;76.15
59;Hauhia Aleksi;97182;RaJu;26588;75.88;0;66.81;;;;;;;75.39
60;Lepistö Oskari;23629;MSParma;26767;74.54;0;68.08;;;;;;;75.35
61;Korpio Juha;21201;EsAk;26527;74.44;26526;67.45;0;63.17;;;;;75.23
62;Vierimaa Ville;107558;EsAk;26526;68.49;0;68.01;26527;67.90;;;;;74.98
63;Hiltunen Juho;90533;EsSu;26526;71.97;26527;66.62;0;65.62;;;;;74.92
64;Julkunen Aaro;31641;MSParma;26702;73.53;;;;;;;;;74.45
65;Saikko Ville;21076;LappRi;26534;74.03;0;66.82;;;;;;;74.40
66;Rautio Mikael;34239;EsSu;26526;72.93;;;;;;;;;73.85
67;Tervakangas Mikko;21407;EsSu;26526;70.72;0;68.61;;;;;;;73.61
68;Pukema Hannu-Pekka;15519;KS;26520;69.33;26521;68.15;0;62.83;;;;;73.49
69;Taivainen Juho-Matti;24190;PelPo;26534;68.34;0;67.64;26526;64.21;;;;;73.44
70;Saarela Benjamin;36899;LHR;26526;68.49;26361;66.66;26360;64.95;;;;;73.41
71;Manninen Heikki;8026;AnttU;26526;74.15;0;64.63;;;;;;;73.31
72;Millner Max;121137;TuMe;26767;71.88;26702;68.91;0;58.51;;;;;73.12
73;Nissinen Niko;31973;RaJu;26588;70.78;0;67.38;;;;;;;72.99
74;Ihme Vili;27098;Pohjant;26598;69.95;26597;68.03;;;;;;;72.89
75;Maasilta Aapo;36611;HS;26526;71.29;0;70.66;26527;56.41;;;;;72.77
76;Klemola Saul;24788;RaKaS;26520;71.33;26521;65.75;;;;;;;72.42
77;Hölli Mikko;16965;KangSK;26527;77.38;0;59.66;;;;;;;72.40
