SM-ranki Sprintit 2024;SPRINTTI;05.05.2024;3;true
Sija;Nimi;Lisenssi;Seura;Kilp 1;Pist 1;Kilp 2;Pist 2;Kilp 3;Pist 3;Kilp 4;Pist 4;Kilp 5;Pist 5;Pisteet
1;Nurminen Inka;972;JRV;26823;95.29;0;92.12;26563;88.05;;;;;100.00
2;Karppinen Inari;107427;EsSu;26527;92.96;26526;90.56;26563;89.75;;;;;99.21
3;Kaasiku Evely;97508;HS;26563;93.60;26823;91.21;0;86.95;;;;;98.66
4;Nurmi Kirsi;10218;Pohjant;26823;89.48;26563;88.66;0;85.93;;;;;95.86
5;Hilo Hanne;27084;EsSu;26563;89.75;0;86.44;26823;85.69;;;;;95.07
6;Patana Jenny;1545;RaJu;26526;88.37;26527;87.24;0;85.55;;;;;94.81
7;Sianoja Maija;1424;MSParma;26767;91.22;0;86.63;26702;82.70;;;;;94.59
8;Tuomisto Anu;12032;NOR;26526;91.88;26527;89.41;0;78.44;;;;;94.29
9;Mänkärlä Aino;2165;Lynx;26823;87.32;26563;86.72;0;84.65;;;;;93.91
10;Oksanen Maiju;21818;KangSK;26526;91.02;0;86.81;;;;;;;92.96
11;Ruokonen Sara-Elise;106138;AngA;26563;90.49;26767;82.22;26823;78.59;;;;;91.23
12;Nokelainen Liisa;118600;EsSu;26563;84.26;26823;82.82;26527;82.33;;;;;90.55
13;Hämäläinen Roosa;27493;HiKi;26767;81.09;26527;81.06;0;79.55;;;;;87.75
14;Paukkunen Sanna;28034;MSParma;26527;83.34;26702;78.37;26767;78.29;;;;;87.13
15;Ankelo Elsa;90979;MSParma;0;84.75;26526;78.80;26527;74.58;;;;;86.45
16;Rantala Jasmiina;31553;Lynx;0;81.62;26526;80.39;;;;;;;84.69
17;Laaksoviita Veera;94320;KR;26526;82.33;0;78.71;;;;;;;84.19
18;Ojala Jenny;95729;RasKa;26588;80.23;0;79.50;;;;;;;83.50
19;Haajanen Sofia;35611;Pohjant;26823;80.76;26563;79.80;0;68.47;;;;;83.14
20;Vuori Jenny;36476;TuS;26767;77.03;26527;76.59;0;75.35;;;;;83.12
21;Korhonen Kati;103766;S-JKL;26823;76.18;26563;75.94;26521;75.80;;;;;82.74
22;Moilanen Anna;27623;RasKa;26521;77.69;26520;75.59;0;71.71;;;;;81.68
23;Julkunen Sonja;11181;MSParma;26526;78.12;26702;75.11;0;68.09;;;;;80.34
24;Parjanne Laura;34145;HiKi;26563;74.51;26534;73.52;26823;72.72;;;;;80.14
25;Virkajärvi Heta;96926;JRV;26360;75.29;26361;74.85;0;70.41;;;;;80.07
26;Niemi Tiina;32397;RasKa;26588;77.68;0;75.04;;;;;;;79.84
27;Hyyppä Liina;95202;LapVi;26526;75.49;26588;74.24;26579;70.08;;;;;79.80
28;Kinni Saila;34933;TP;0;77.46;26702;74.24;;;;;;;79.31
29;Kaiponen Iida-Emilia;116345;KR;26521;74.18;0;72.21;26520;70.80;;;;;78.85
30;Vääränen Sari;12641;KS;0;74.12;26360;73.59;26361;68.69;;;;;78.56
31;Saarijärvi Salla;11197;RasKa;26527;84.66;26526;68.77;0;62.26;;;;;78.29
32;Eerola Lotta;29085;TP;26527;75.70;0;73.92;;;;;;;78.22
33;Finnäs Jenny;35430;Malax;0;76.61;26578;73.96;26562;64.66;;;;;78.13
34;Hansén Amanda;34743;OK77;26823;72.23;26563;72.17;0;70.47;;;;;78.01
35;Gunell Yvonne;33590;PIF;26527;79.85;26702;68.53;0;65.58;;;;;77.67
36;Tala Emilia;35257;HS;26526;76.70;0;71.58;;;;;;;77.51
37;Nordgren Cecilia;95715;Trian;26563;71.51;26360;70.70;26361;70.09;;;;;77.06
38;Vierimaa Salla;96082;EsAk;26526;73.03;26702;70.82;0;65.80;;;;;76.11
39;Riutto Eerika;38052;LS-37;26527;72.18;0;67.66;26526;67.48;;;;;75.27
40;Kiuru Veera;29616;RaKaS;26563;73.37;26823;66.87;26521;66.84;;;;;75.18
41;Rahkola Ella-Noora;12413;TuS;26767;71.06;26702;69.47;0;66.13;;;;;75.03
42;Pellonperä Sofia;6747;KR;26527;80.63;26526;63.06;0;62.82;;;;;74.97
43;Donner Isabel;6895;OK77;26563;70.84;26823;69.72;26534;65.63;;;;;74.85
44;Rinkineva Elina;25170;RaJu;0;74.88;26588;66.72;26579;64.52;;;;;74.83
45;Pelkonen Roosa;24653;TP;26534;71.65;0;70.89;;;;;;;74.52
46;Keski-Säntti Eija;28582;YKV;26579;73.44;26578;67.14;0;64.31;;;;;74.38
47;Virtanen Heta;37700;HlS;26534;69.11;0;67.46;26360;67.13;;;;;73.95
48;Aho-Penttilä Petra;24854;AnttU;26527;73.63;26521;65.30;26520;64.34;;;;;73.80
49;Haikonen Henna-Riikka;3814;AnttU;26521;72.20;26520;67.66;0;63.26;;;;;73.74
50;Korpi Anna;39073;S-JKL;26360;69.25;0;66.59;26361;66.06;;;;;73.30
51;Hietala Emmi;91484;LapVi;0;70.64;26767;69.21;;;;;;;73.10
52;Taulavuori Anni;33055;AlatPi;0;69.39;26534;67.70;26526;63.72;;;;;72.90
53;Sikkilä Peppi;98941;LapVi;0;69.38;26588;69.34;;;;;;;72.52
54;Sane Mari;31846;HS;26527;69.84;26526;65.61;0;62.59;;;;;71.90
55;Rautasalo Essi;1485;LappRi;26527;66.89;26563;66.62;26823;64.15;;;;;71.76
56;Lammi Elina;7437;HS;26823;70.20;26563;65.49;;;;;;;70.93
57;Joensivu Inka;715;RasKa;26563;70.27;26575;67.20;26823;57.30;;;;;70.70
58;Kiljunen Emmi;36627;LS-37;26823;68.20;26360;63.84;26563;62.24;;;;;70.53
59;Papinaho Alina;102819;S-JKL;26823;67.67;26563;64.96;0;61.06;;;;;70.31
60;Jokilammi Essi;119839;HS;26527;67.25;26526;67.14;;;;;;;70.26
61;Jerkku Laura;10277;TuS;26702;67.35;26767;66.50;0;58.56;;;;;69.85
62;Kangasaho Essi;5241;HiKi;0;69.80;26702;63.80;;;;;;;69.84
63;Wallikivi Maria;103785;EsAk;26563;68.48;26823;65.95;26527;57.84;;;;;69.80
64;Väyrynen Aino;14792;KR;26520;69.03;26521;63.92;;;;;;;69.51
65;Hyyppä Milja;29231;MSParma;26526;70.27;0;60.52;26527;60.34;;;;;69.39
66;Mäkinen Sanni;99761;EsSu;26526;66.73;26527;63.84;;;;;;;68.26
67;Hanhijärvi Marjukka;18003;EsAk;26823;64.98;26563;61.73;0;60.90;;;;;68.11
68;Näsi Minea;96391;RaJu;26588;72.46;0;57.42;;;;;;;67.89
69;Väre Tiina;31104;SomEsa;0;67.25;26702;62.09;;;;;;;67.61
70;Juntunen Hertta;97751;KR;26361;65.25;26360;62.28;0;57.17;;;;;67.06
71;Määttä Suvi;15325;TP;26360;63.17;26361;61.79;0;58.30;;;;;66.53
72;Andelin Sanna;9632;LaTa;0;68.74;26361;57.35;26360;56.53;;;;;66.29
73;Valve Reeta;118639;TP;26575;63.88;0;59.94;26563;56.58;;;;;65.49
73;Vanhala Heidi;114875;SKUusi;26361;63.57;26360;61.06;0;55.77;;;;;65.49
75;Liimatainen Anni;1034;TuS;26702;62.77;0;61.64;;;;;;;65.03
76;Rannila Tanja;39429;VetU;26578;61.60;0;59.99;26579;57.51;;;;;65.02
77;Valkonen Oona;15880;Kalske;26534;64.23;0;59.91;;;;;;;64.90
78;Ojanaho Eeva-Liina;38252;OH;26597;62.64;26598;61.35;;;;;;;64.81
79;Ahlfors Anni;109036;RaLu;26767;74.17;0;49.25;;;;;;;64.52
80;Ploompuu Grethe-Johanna;122244;HS;26527;65.70;0;57.78;26526;53.80;;;;;64.35
81;Manderbacka Hanne;9651;TuS;26767;61.12;0;59.63;26702;55.83;;;;;64.10
82;Eklund Ida-Marie;1373;OK77;0;60.47;26527;58.26;26526;57.78;;;;;64.08
83;Wickholm Saga;13970;Trian;26563;64.35;0;57.91;26823;53.78;;;;;63.91
84;Rauhala Elina;101242;EsAk;26526;60.96;26563;57.56;26527;57.42;;;;;63.88
85;Palomäki Sanna;38169;RasKu;26579;61.37;26578;58.05;0;55.97;;;;;63.68
86;Papinsaari Niina;1603;KangSK;26527;64.62;26526;59.12;26534;50.98;;;;;63.43
87;Heikkinen Ida;13304;VeVe;0;69.56;26527;52.59;26526;50.75;;;;;62.78
88;Ajalin Riikka;16202;TuS;26526;60.03;26534;56.00;26527;54.83;;;;;62.02
89;Rasimus Siiri;91340;S-JKL;0;61.22;26575;57.31;;;;;;;61.97
90;Haga Antonia;14788;Botnia;26562;61.83;;;;;;;;;61.95
91;Kymäläinen Sanni;2433;TP;0;61.18;26527;60.78;26526;47.85;;;;;61.64
